words,rgb,hsb
Keyboard,-5913645,-13548333
functions,-3939113,-7924009
SPACE,-10264510,-14073295
changes,-3096398,-6083662
flips,-3286330,-5759802
modes,-3743306,-8448586
press,-1973063,-4648056
button,-3283743,-4384799
looping,-3288873,-4708393
keyPressed,-4794419,-11525939
equals,-5056533,-11918101
Iterates,-5712944,-14472240
array,-5443868,-15134748
draws,-2890580,-5893460
square,-3481133,-5957421
colour,-3742502,-6875174
determined,-4599600,-10344752
averaging,-3747652,-7920964
colours,-3087142,-3860518
Google,-7613494,-14508854
search,-1788234,-4836218
rect,-1590862,-5099399
saveTable,-3954490,-7322682
PImage,-7434554,-11034426
source,-1784109,-2936937
renameTo,-5255738,-13031738
One,-9381959,-14829184
Light,-6957120,-14782784
Shadow,-6763056,-14127152
Thousand,-4142397,-8902461
Memories,-5711923,-14669619
Character,-5065024,-11520320
Info,-6563908,-14854724
Tsukiyomi,-4795420,-10737692
Mitsuko,-4597030,-10412070
Gender,-8078883,-12792611
Female,-8535098,-13711683
Age,-12402503,-9717459
year,-1132116,-5492895
older,-3482954,-7398730
Sasuke,-4801328,-10406192
Sakura,-4798788,-11326788
Naruto,-5453091,-13226531
etc,-4592718,-12120654
Description,-5449776,-14147376
Kekkei,-6768182,-13142582
Genkai,-7228723,-12741939
Kinshi,-5913651,-13614387
Eyes,-6554695,-16628807
called,-4148541,-8308029
Kinshigan,-5456688,-12765488
enables,-3943502,-9101646
user,-1579079,-4648592
imitate,-3292969,-4573737
kekkei,-3294774,-5228598
genkais,-3099955,-4375091
gives,-4401167,-8706575
tremendous,-2633517,-2939192
activates,-3487021,-5690413
using,-1977402,-3792235
special,-3288910,-6807374
jutsu,-2625813,-1372194
Power,-6955531,-14644747
ability,-3098153,-3785769
control,-3285545,-4842281
manipulate,-3752732,-5620764
shadows,-2634288,-3135290
able,-5066800,-10731056
minds,-3942441,-7593513
Personality,-4401197,-9690669
story,-1773094,-2487410
History,-4140828,-7722268
Demon,-7223597,-13660205
Tatsuya,-5255695,-12177423
Siblings,-5254973,-13229117
brother,-2894902,-3923254
Hisaki,-8271145,-13840169
sister,-1589020,-1820519
Michiko,-5454144,-13555008
Other,-6953021,-15570493
none,-3745065,-6807593
Male,-7230256,-12347696
Dragon,-8069696,-15094080
Human,-8265261,-15151917
whitishblue,-1786669,-2934886
scales,-2443574,-3524169
liquid,-2242870,-3527254
change,-3948366,-8770638
human,-4791853,-11724589
original,-4140083,-8707123
helpful,-3098147,-3392291
patient,-2444575,-2014260
easily,-4145935,-6602767
tempered,-2902310,-2867494
knowledgeable,-3947578,-7917882
calm,-3953456,-6929456
Known,-5449766,-14015782
Relative,-5059894,-12047926
Clan,-7417684,-14713684
Every,-6752839,-16297287
member,-4146726,-7521318
clan,-3944276,-9298004
bloodline,-3945782,-7853622
summon,-2235181,-2943315
animal,-4144950,-8375862
partner,-1785651,-3329388
Ordinary,-5052497,-13758289
animals,-3292982,-5295670
summoned,-3091501,-4184877
Legendary,-6762288,-14258480
Pegasus,-5451561,-13686825
Unicorn,-5253165,-13229613
Phoenix,-4796976,-11065136
Familiars,-6960429,-13926701
masters,-1985820,-1817419
communicate,-3289658,-5691706
telepathically,-3093053,-5101885
age,-5455687,-13357639
companion,-3749165,-6738989
expected,-4601116,-9490460
master,-2247964,-1817404
Summoning,-5055027,-12837939
Technique,-4795463,-11853895
Masters,-4410652,-7846684
familiars,-4601133,-10081325
mastered,-3099932,-2931484
technique,-2436167,-4644955
utilizes,-3088927,-3400223
abilities,-4146723,-7389987
coordinated,-3490601,-5293865
manner,-2903331,-2669859
levels,-3947541,-6211605
become,-3946826,-8705866
regular,-1588298,-4838791
purple,-2236979,-3335255
black,-5255764,-13557332
But,-12194069,-10294513
among,-4142374,-7983654
rumours,-1970470,-2486626
arose,-3486246,-5362982
fourth,-3087913,-4056617
blood,-3947558,-6999078
mixed,-3752712,-4636168
anyone,-3942438,-7462182
potential,-3487007,-4968735
belief,-4605498,-9881914
rumour,-2232614,-2486607
died,-4798791,-11458119
tale,-3101488,-4111408
about,-3289638,-4511014
obtaining,-3947565,-7327277
That,-4799572,-11720532
got,-4138261,-7724309
managed,-4409658,-9160506
forbidden,-4798768,-10735920
members,-3294758,-4310054
risk,-2636057,-1625124
dying,-3744314,-7660858
unlocking,-2438454,-3528267
prophecy,-3284534,-5630006
made,-3756874,-7586890
children,-4406317,-9096749
family,-4145945,-7062297
obtain,-3950111,-6472223
strong,-1973808,-3139430
ninja,-3098153,-3785769
hide,-4405578,-10213194
amongst,-3290399,-4116767
Both,-8070421,-14494229
Thus,-5061650,-10864658
began,-5454144,-13555008
speaking,-3289664,-6019648
thoughts,-1323571,-3331979
butting,-3745055,-6348575
say,-1594117,-306767
exchanging,-4403766,-9689142
unless,-2892326,-2941478
dream,-5252423,-13821255
Shikyo,-5906992,-14995248
parentheses,-3946777,-6474777
thinking,-2243642,-3789145
person,-1979683,-2282071
another,-2896438,-3921974
Any,-12396549,-7996633
paragraphs,-3750953,-6409513
sentences,-2639398,-2475056
italics,-2893905,-5694545
dreams,-5252400,-13426992
visions,-2240291,-2283336
flashbacks,-3293002,-6476618
Chapter,-5449806,-14541902
Blood,-7420966,-13393446
Rose,-6759705,-14584345
Promise,-5712927,-14274591
woke,-2630963,-3334718
scanned,-3095630,-6084174
area,-5446471,-15002695
Everything,-5446445,-14739757
darkness,-3289651,-5297971
night,-3287104,-6086976
changed,-4144974,-9360462
day,-4805381,-8302085
forest,-4595225,-10282009
dragon,-4596288,-11265600
perched,-4145971,-8112691
shoulder,-2436922,-3791695
sat,-1594133,-1356634
having,-3948329,-7064105
learnt,-2439478,-3527243
sun,-1577257,-2683265
guessed,-3478599,-7467335
00,0,0
he,-3950336,-16777216
flew,-2633543,-4644176
away,-2886228,-5896532
stood,-1978150,-2479963
bent,-3294761,-4506665
let,-3098133,-2604821
jumping,-3286317,-5038381
branch,-3945802,-8772170
knew,-1976391,-4645493
village,-2901562,-4180282
Hidden,-7880506,-13587514
Village,-5260858,-12110138
Leaf,-7226964,-13666132
Iceclaw,-5455694,-13489230
sensitive,-2436909,-2939204
hearing,-3292992,-5886016
picked,-2899790,-5428302
waves,-2635023,-970011
northeast,-3287081,-4775465
heading,-4407104,-9687104
went,-1132073,-2671751
agility,-3095593,-3853609
usual,-3286290,-3530002
head,-4408916,-10211412
calculated,-5253178,-13492282
arrive,-4592691,-11398963
grinned,-3940928,-8709696
Ill,-10694448,-14233534
destroy,-2241055,-2020164
problems,-3482166,-6415670
easy,-2446105,-1618990
long,-3745065,-6807593
taken,-3096371,-4443443
sensed,-1590842,-3787129
Another,-5255734,-12965942
lets,-2442773,-1359660
thats,-1322068,-5497504
twentieth,-2888000,-4649792
to-,-1320448,-16777216
amount,-3288095,-4184351
chakra,-4140116,-10019412
mind,-3946793,-7196457
entered,-4792880,-11658288
quickened,-3288900,-6282564
pace,-3494734,-7063118
persons,-1783075,-2282083
disappeared,-5062431,-11061279
fact,-2904910,-5424718
really,-2440237,-2936386
fast,-2904857,-2012185
About,-6763046,-13994790
later,-3946773,-6343445
trees,-3087175,-5827655
cleared,-5252423,-13821255
jumped,-2894909,-4382269
ninjas,-3098147,-3392291
popped,-2241846,-3528279
nowhere,-3749141,-5558037
Who,-7617574,-13390630
business,-3480368,-6154544
asked,-5059123,-12113715
Closing,-5911849,-13877033
obviously,-2636047,-969243
social,-2636864,-4182601
villages,-2898234,-4182842
wide,-2636106,-4839251
backing,-4408893,-9357885
Before,-7418439,-14383431
lift,-2242884,-4445538
glare,-3095636,-6412116
bodies,-4601139,-10278195
unconscious,-2435120,-3137351
Very,-4146716,-7061788
entertaining,-4598822,-10148390
Sharingan,-4801338,-10668858
presume,-2889786,-4255034
hissed,-2899763,-3722547
serpent,-1787427,-2278238
Of,-9389056,-16777216
course,-3481133,-5957421
walked,-1985853,-3982694
past,-1790745,-1619026
who,-670758,-2477222
hat,-3953429,-5681941
didnt,-3745866,-8315722
care,-4805404,-9090332
grumpy,-3481099,-4252427
early,-3943452,-6936604
However,-5905193,-15323689
noticed,-3750192,-6803760
alley,-5053232,-13035824
appeared,-5062431,-11061279
behind,-4602180,-10671428
He,-10897152,-16777216
drew,-2890567,-5041223
kunai,-4400425,-9625641
throat,-1984793,-1621322
said,-3298106,-5357370
why,-670725,-312472
hoping,-3942451,-8052531
unnoticed,-2894906,-4185402
impossible,-3748390,-6411558
Copycat,-4602173,-10409021
Kakashi,-6567226,-14065466
His,-10893593,-13375676
widened,-3486282,-7265354
didn,-3750218,-8050506
All,-12398384,-9252826
badly,-4140106,-9625674
fighting,-3747645,-7593021
theyre,-928839,-4645038
ll,-3092480,-16777216
spare,-1783124,-5495942
without,-1978133,-1365070
gift,-2898244,-4838724
muttered,-3093785,-2936601
part,-1790748,-1815893
trust,-1579026,-1173872
know,-1976358,-2481501
ve,-935680,-16777216
killed,-3292989,-5689149
sure,-3084572,-3338268
frowned,-3285558,-5563702
don,-4793641,-11329577
Im,-10693888,-16777216
genins,-3946787,-6934051
convince,-3750185,-6410025
trying,-2630179,-2286127
Hardly,-7881490,-12660754
powerful,-2630953,-2678836
kill,-3291440,-5034288
process,-3093023,-3330847
yet,-280085,-1359792
shes,-1588295,-4641925
Fine,-8075561,-13580841
Alright,-5912877,-13679917
borrow,-3482901,-4644117
handed,-4410682,-9028666
his,-3946777,-6474777
seals,-2436948,-5496935
swirling,-1976378,-3793004
So,-8529408,-16777216
will,-1980720,-3133792
promise,-3288095,-4184351
damage,-5261626,-11978554
leak,-3294804,-7000148
Orochimaru,-4602153,-9817897
Akatsuki,-5712947,-14472243
chuckle,-5060899,-11456035
lifting,-2898230,-3920438
wrist,-1120314,-3796390
above,-3296550,-4242982
across,-3944988,-6804252
swiftly,-2232630,-3535452
droplets,-2892342,-3990838
dripped,-3939904,-8776000
glowed,-2440250,-3789134
shrank,-3486249,-5494057
shaped,-1983313,-5296759
rose,-3286297,-3923481
took,-2434342,-2482239
cut,-5050645,-13103125
healed,-3491409,-7393105
scar,-1789268,-5491840
wilting,-2242861,-2936910
means,-2895700,-5824596
broken,-4403753,-9229609
fades,-4601162,-11000394
lifted,-2244423,-4641379
Oh,-9387264,-16777216
Hm,-10890496,-16777216
Even,-7212615,-16092743
backed,-4410702,-9816654
unscathed,-3490601,-5293865
suspiciously,-2435103,-2022456
lead,-3950164,-8900692
my,-2884864,-16777216
team,-2246228,-5492845
book,-4400422,-9560102
saw,-1594123,-700499
Pervert,-3950108,-6340892
Two,-8260134,-16198950
Meeting,-5259066,-12439354
Team,-5719636,-13683284
RECAP,-10723256,-13875151
START,-8748734,-14663107
led,-3098186,-5754442
surrounded,-2894889,-3136041
shielded,-3750980,-7721796
Training,-5057607,-12836935
girl,-3750172,-5819676
pink,-2898217,-3067689
hair,-2904890,-4112186
green,-4399687,-10741575
looked,-3290426,-5625402
boy,-5252357,-12770053
spiked,-2438468,-4446296
yellow,-1783071,-2019681
seemed,-2246218,-4836965
Meet,-5719623,-13485639
teammate,-1982292,-5494139
ran,-1790761,-2669150
gave,-4412175,-7123215
muttering,-2632742,-2480689
hate,-4412181,-7385877
Narutos,-4142371,-7852579
Thoughts,-3748403,-7067443
Wow,-7611659,-14435083
nose,-3745049,-6086169
Wonder,-6370595,-13803555
doing,-3748410,-7395642
eh,-4603136,-16777216
heh,-3950141,-7850557
knocks,-4140831,-7853599
hollow,-3482911,-5168927
echoes,-3492141,-5423917
okay,-1323604,-5496478
stole,-2436902,-2479934
her,-3950108,-6340892
End,-11544650,-13453796
reading,-3751744,-7458880
cocked,-4142414,-9624398
eyebrow,-3477814,-6615606
Hey,-10896901,-12256426
wheres,-1327920,-3131778
waterfall,-3749168,-6870064
They,-4406343,-10015815
unison,-1321011,-3334031
four,-3089682,-2612498
ways,-1135365,-306795
boulder,-3488045,-5623853
flow,-2633510,-2479921
lake,-3953459,-7060787
scratches,-3750189,-6606893
bruises,-3480365,-6023469
breathing,-4791876,-12314948
heavily,-1785668,-4444536
turned,-1977395,-3333221
clearer,-4138311,-9692487
features,-3482938,-6546234
blackishblue,-3746890,-8249418
unlike,-2436925,-3988562
showed,-1131322,-3787666
hatred,-2903344,-3522864
coldness,-3940925,-8578621
felt,-2901552,-3524144
him,-3946797,-7393325
meet,-2246215,-4640098
silently,-3088931,-3662371
toward,-3482157,-5956397
guys,-2887941,-913157
simply,-1979673,-1625935
Uchiha,-5916234,-13549130
glared,-3095633,-6280785
replied,-3292982,-5295670
Nice,-7223630,-14190158
tone,-3089705,-3989545
started,-2888782,-5501518
glaring,-3487040,-6674496
looking,-3485481,-5560361
uncomfortable,-3289654,-5429302
hes,-3950105,-6209561
nasty,-1977369,-1628242
especially,-3748400,-6936368
avoided,-4795446,-11394358
contact,-2636861,-3985990
much,-3477838,-7861326
afraid,-5455667,-13028659
fight,-4139072,-9363776
Therefore,-4142407,-9296199
nodded,-3749194,-8116810
Begin,-8075584,-13979456
sleeve,-3087943,-5827143
She,-8535111,-13911632
eyed,-4785223,-13237575
landed,-3951930,-7521338
near,-2246228,-5492845
foot,-2893094,-2940966
waiting,-2246195,-3327825
coming,-4401206,-10018870
Then,-5454919,-13489223
she,-1588295,-4641925
screamed,-3756070,-5880614
fainted,-3945792,-8312896
anime,-4143418,-8704826
First,-6563868,-14456860
happen,-3099942,-3587622
sweatdrop,-3086397,-5238077
slithered,-1588292,-4445059
Piece,-7225159,-13795399
cake,-4805427,-9878835
abruptly,-3287065,-3922713
army,-2890541,-3402029
soldier,-2895677,-4381757
face,-4608846,-10208846
war,-676636,-1815954
cry,-5053189,-12313861
charged,-3948366,-8770638
sweatdropped,-2893120,-4580416
lazily,-3490565,-3325445
flicked,-4796992,-11459136
bare,-5067548,-10007836
forehead,-4798771,-10867251
dunno,-3742505,-7006505
imagine,-4141632,-9099840
flying,-4140067,-8116515
slightly,-3089705,-3989545
strength,-2631728,-3137339
smirk,-1781562,-3791733
Anyway,-6569733,-12680965
calmly,-3949340,-6407196
Note,-7218453,-14509845
defeat,-4803885,-9879597
bakkas,-4412198,-8042790
smirked,-2895680,-4578368
wont,-1123625,-2678936
running,-2893097,-3137577
stars,-1775700,-5500813
threw,-3089692,-3202588
air,-5454108,-12897564
planning,-2634311,-4643664
held,-4408880,-8832560
wanted,-1133882,-3785869
glow,-2436902,-2479934
speed,-3093831,-5691719
dodged,-4601162,-11000394
kept,-2442787,-2278200
heat,-2639444,-5492828
seeker,-2442803,-3327815
chased,-3294033,-6804049
lol,-3089712,-4383024
until,-2436117,-1365807
clasped,-3942478,-9167950
hands,-4404521,-9163561
stabbing,-3291463,-6346311
struggling,-2633517,-2939192
chance,-3950158,-8638286
punch,-3745833,-6741545
stomach,-2897210,-4183610
fly,-4402949,-8114437
stuck,-3286290,-3530002
pressure,-1976365,-2940514
flipped,-3942464,-8577344
landing,-4146729,-7652393
crouched,-3750963,-6868787
Weakening,-5061696,-12046912
lack,-3298126,-6538830
skilled,-3289664,-6019648
By,-12190976,-16777216
way,-676613,-306823
sensei,-1590835,-3327860
wasn,-1790745,-1619026
thank,-1980756,-5495164
Up,-8069888,-16777216
kicked,-3293006,-6673486
scratched,-3750205,-7394365
cheek,-4798791,-11458119
Trying,-6103587,-14859811
punched,-4139066,-9101370
crouching,-3289654,-5429302
Going,-6959674,-14256698
saying,-2637603,-2279725
spit,-1581626,-3794309
today,-3478602,-7598410
dripping,-3288122,-5692730
mouth,-2241042,-1167673
scratch,-3748406,-7198774
questioningly,-1779005,-3990394
Three,-6570780,-12879900
Secrets,-3950131,-7391027
decided,-4606282,-10406730
somewhere,-3742525,-7924541
isolated,-3947551,-6671135
powers,-3482130,-4513810
While,-5456698,-12962618
bumped,-3746877,-7659069
Wherere,-4801331,-10471987
Same,-6574893,-12290349
together,-3481152,-6940992
dismay,-3950095,-5684495
nearer,-2246202,-3787095
voices,-3093801,-3920681
stopped,-2890550,-3992118
Whos,-4602918,-9554982
talking,-3098157,-4048429
Jounins,-5058335,-11785759
mainly,-2900767,-2409503
talkers,-2247974,-2473541
perfectly,-2637606,-2476592
We,-7620352,-16777216
years,-1126228,-5497001
voice,-3093818,-4904506
identified,-3945028,-8575812
Anko,-7415859,-14642483
Asumas,-7615765,-13584149
faked,-4608051,-9355059
Silence,-5911104,-14338112
loose,-2438438,-2478653
Orochimarus,-4600361,-10016041
henchmen,-4602157,-9949229
work,-1975580,-1826390
gets,-2901525,-1818389
snorted,-2891318,-3991606
comment,-3093805,-4117549
Highly,-7419171,-13786659
unlikely,-2630205,-3991111
Shes,-5061703,-12178503
emotionless,-2632755,-3333181
ever,-3280455,-6681927
eight,-4401216,-10346816
mustve,-2232624,-3142231
somehow,-2437673,-2676032
Yeah,-5719636,-13683284
secrecy,-1328718,-5099411
driven,-2896435,-3725107
events,-3739952,-7533104
happened,-3755302,-5881382
earlier,-3294771,-5097267
Except,-8066099,-15681331
Doesn,-6760519,-14852167
comfortable,-3488051,-5952051
cracking,-4403015,-10345799
twig,-2886202,-4257850
hiding,-3945031,-8706887
snapped,-2893134,-5498446
scowled,-2441014,-3526218
useless,-1978160,-3135842
climbed,-4407104,-9687104
rookie,-2633526,-3529280
Huh,-10883389,-15940834
similarities,-2898989,-3329581
Top,-8267043,-14625059
desperate,-4142377,-8114985
needs,-3747655,-8052039
stealth,-3744304,-7201840
training,-2632775,-4644945
glowered,-3292963,-4245795
Enough,-6370611,-14001971
answered,-3751708,-5687068
Did,-11745610,-12143064
fake,-4608819,-9223475
leaving,-2899776,-4575296
teleported,-3288118,-5496118
big,-5257536,-12834112
came,-4805421,-9681709
during,-4398640,-10086192
childhood,-3488064,-6608192
stared,-1781585,-5300102
wondering,-3093037,-4118061
figured,-3484740,-7003972
Id,-10701312,-16777216
crescent,-3091527,-5759047
moon,-2893094,-2940966
shining,-2898995,-3723059
seemingly,-2898985,-3067177
sky,-1585669,-314973
Do,-11740672,-16777216
Yet,-7226901,-12540693
Yes,-7226905,-12607001
whats,-1125460,-5497514
Itachi,-7874631,-14836295
correct,-2897206,-3921462
Narrowing,-5059875,-11653667
ponder,-3487011,-5165603
Someone,-5907757,-14797869
facing,-4144967,-9097799
concerns,-4402211,-9230627
question,-1973056,-4189043
stayed,-929617,-5300145
accomplished,-3751734,-6934070
belong,-3946810,-7983930
fit,-4405525,-8309525
working,-2895651,-2742051
narrowed,-3097365,-2605589
Four,-6563090,-14521618
Devil,-7879695,-13053711
Arrow,-7410716,-15622940
couldve,-4405522,-8178194
breakfast,-5448246,-14476598
used,-3086407,-5828167
Today,-6952010,-15834698
watch,-2902293,-1752085
hopefully,-3944981,-6476053
youll,-1780754,-1168986
learn,-2439508,-5495142
Everyones,-5447213,-14608173
interesting,-3287091,-5365555
handful,-3951903,-6274079
kunais,-4400419,-9428771
accuracy,-3941713,-9365073
punching,-3288883,-5298739
kicking,-3750205,-7394365
spinkick,-3092282,-4971322
blocked,-5059126,-12179510
annoyed,-4397114,-10612026
realized,-3293997,-4769837
Jutsu,-6099221,-15779605
huge,-4395328,-11006784
bow,-5252363,-12835851
arrow,-3937308,-7532060
notched,-4141616,-8443696
shouted,-2631734,-3530817
Nightmare,-6366525,-14922813
shot,-1588262,-2477167
dodge,-4601162,-11000394
followed,-4141599,-7787295
alarming,-3290439,-6347079
covering,-4140070,-8247846
solidify,-3287094,-5562422
shield,-3093828,-5494852
chanted,-4139086,-9888846
Pain,-5919546,-12562234
Suffer,-6564912,-14458672
Broken,-7877161,-13977385
Fear,-6571604,-13673556
Past,-5264153,-10662937
paused,-1985840,-3129691
faded,-4608074,-10143306
incredulously,-1781565,-3988600
myself,-3742512,-7334192
known,-1976358,-2481501
obvious,-2636818,-1165341
avenger,-3287111,-6480455
fell,-3753520,-6538800
silent,-3093027,-3527715
does,-3286343,-6481223
shows,-1125414,-2480787
nightmares,-3482941,-6742845
victim,-1128765,-3986584
suffer,-3091504,-4381744
fear,-3098196,-6410324
supposed,-2894879,-2480415
smart,-1778260,-5499275
dense,-3294761,-4506665
makes,-3749171,-7001395
sticking,-3092282,-4971322
sword,-1780774,-2480744
heartbreaking,-3094858,-5822282
horrible,-3094838,-4641334
therefore,-1979719,-4643187
causing,-3753503,-5685791
wouldnt,-1784095,-2018655
scared,-1788241,-5295487
pity,-1325333,-1362806
progress,-2628406,-3533377
whistles,-2434358,-3531341
Can,-12014377,-9251003
teach,-3294036,-7000660
learned,-3291470,-6740046
weak,-1984084,-5492857
bad,-5264202,-11977802
Besides,-5916976,-12890672
backfire,-3492164,-6670916
engulf,-2894916,-4841284
opponent,-2630198,-3532097
stay,-922708,-5501631
eternity,-2627648,-4189515
gulped,-3288125,-5889597
yelled,-1787453,-3983985
HEY,-10924143,-10186392
Hokage,-8270397,-14238269
BELIEVE,-11579529,-11045038
IT,-10714880,-16777216
terrible,-2245430,-3525204
preferably,-3095603,-4443955
murder,-3943452,-6936604
controlling,-3091504,-4381744
apart,-3742548,-8973652
Concentrate,-5059898,-12179002
Lightning,-5908538,-14732602
flashed,-3749198,-8313678
lightning,-3745850,-7528506
struck,-1323561,-2676101
arrows,-3937308,-7532060
examined,-4140864,-9165888
patterns,-2243609,-1624381
twins,-1970490,-3797617
similarity,-1979699,-3331427
slither,-1586496,-4184195
Ahh,-12401725,-9387219
teaching,-3097415,-5623623
those,-1590054,-2475628
jutsus,-2625817,-1634342
foolish,-3944223,-7001631
stupid,-1976368,-3137380
ask,-5445683,-14937139
distracted,-4138301,-9298749
Kyuubi,-5712934,-14340390
accomplish,-3750960,-6737712
wouldn,-1980703,-2018643
however,-3480361,-5826857
prodigy,-2436147,-3333193
Really,-5913645,-13548333
attention,-4596252,-10215708
concentrate,-3290426,-5625402
transfer,-2890574,-5500238
feelings,-3945018,-8116538
Aim,-12400941,-8858833
rock,-2630990,-5105239
explode,-4134966,-9366582
sped,-3285575,-6547271
sucked,-2436174,-5103970
exploded,-4139062,-8970294
plant,-2433620,-5499240
effect,-4606253,-9356077
wither,-2440985,-1623600
weaker,-1984058,-3787109
plants,-2433590,-3532109
saplings,-3094822,-3657510
flowers,-2243619,-2280517
notching,-3487017,-5493545
aiming,-4600374,-10475574
glowing,-3093801,-3920681
keep,-2901575,-4967751
moving,-3287081,-4775465
waited,-1133892,-4442003
longer,-3749155,-6214179
Impressive,-4798745,-10079257
skip,-1978938,-3791209
Each,-7885646,-13001550
seal,-2442836,-5492837
incomplete,-3487021,-5690413
version,-1785635,-2279776
yesterday,-2247957,-1358134
complete,-2897210,-4183610
add,-5458250,-12962634
Sleep,-6563911,-14854983
making,-3292986,-5558074
easier,-4148508,-6863644
released,-3755302,-5881382
connects,-3091517,-5168701
Youll,-5254162,-12572178
sense,-1590825,-2671725
once,-3483726,-7595086
am,-5451008,-16777216
Me,-9848576,-16777216
alright,-3488045,-5623853
aimed,-5063469,-11257901
concentrated,-3290429,-5822269
wrong,-1781542,-2479975
fade,-4608842,-10077258
fading,-4144967,-9097799
man,-2904873,-3062313
white,-1131322,-3787666
skin,-2241082,-3791194
snakelike,-2897220,-4839492
hurting,-3286307,-4513571
keeled,-3294794,-6409802
completely,-2241846,-3528279
vanishing,-2896442,-4184378
Images,-7420214,-13790006
flashing,-2898247,-5035591
heard,-2902356,-5819988
calling,-4146733,-7783981
consciousness,-2634278,-2479409
POV,-9211769,-11827339
unconsciousness,-2893097,-3137577
yours,-1121810,-1172624
ordered,-3939146,-9301066
splitsecond,-3290406,-4510246
hospital,-3944217,-6739225
nurse,-2239516,-1824834
calmed,-3951933,-7718205
amazingly,-3289645,-4904493
Are,-12393287,-10634989
friend,-4596292,-11396676
More,-7218460,-14576668
nods,-2237770,-4842858
Lets,-5916181,-12561173
shall,-2438484,-5495910
exhausted,-3940918,-8316214
students,-2631711,-2022443
wasnt,-1783065,-1625948
sight,-2893888,-4579648
upset,-2890521,-2156313
caring,-4407088,-9096240
crashing,-3093063,-5692231
eyebrows,-3478582,-6549558
apparently,-3480371,-6351411
formed,-3749171,-7001395
Hospital,-6369049,-14000153
Were,-6112796,-12689948
fine,-4602153,-9817897
-Mitsuko,-7226918,-12871462
Five,-8075535,-13246991
Chuunin,-5255718,-12637478
Exam,-7210836,-16488532
Test,-4802073,-9551897
transferring,-3087933,-5237053
recover,-1977418,-4841591
quicker,-3088960,-5367360
healing,-3751744,-7458880
doctor,-3089718,-4776502
yeah,-2246228,-5492845
Ive,-10686023,-16074458
lived,-3949327,-5816335
exploring,-3939885,-7989037
opened,-2635082,-4840019
Thanks,-5454134,-13357622
bursts,-3478556,-5238300
lose,-3941657,-7003673
concentration,-3093043,-4511539
doorway,-2431037,-3992916
concerned,-4406320,-9162544
Good,-8070438,-14694694
Chunnin,-5911078,-14008358
Exams,-7213396,-16029268
shout,-1320998,-2481544
NANI,-10272147,-11506342
sits,-1587477,-1362789
grin,-3480378,-6679354
evilly,-3939871,-7398687
-,-16777216,-16777216
shoving,-2243625,-2673994
pinky,-2891305,-3139113
ear,-4608796,-8369436
Day,-11752197,-9045167
tomorrow,-2235174,-2484301
rested,-1590835,-3327860
exams,-3739988,-9106516
sleeping,-3093056,-5298752
spending,-2439488,-4183380
rival,-3749135,-5295375
Ino,-10692646,-14493120
resting,-2440995,-2279737
regain,-3751734,-6934070
kids,-2439498,-4839261
hid,-3946826,-8705866
Konohamaru,-4144179,-8310579
guy,-4133125,-7728901
puppet,-2239516,-1824834
brat,-3283796,-7335252
kid,-3291466,-6477642
cape,-4805411,-9287715
fan,-4412201,-8174121
Kankuro,-5452323,-13423651
Gaara,-6574932,-13147988
Relax,-7219248,-14645296
Temari,-6959667,-14124595
evil,-3935802,-8910138
smile,-2439482,-3789646
Put,-9179413,-15733846
crunched,-4144169,-7916841
throwing,-2240301,-2939216
hard,-4412188,-7648540
snarled,-2894926,-5497166
speak,-3484743,-7135303
Listen,-5717795,-13222179
Chinese,-6570793,-13078313
love,-3941647,-6544655
hanging,-4146729,-7652393
upside,-2438448,-3134534
gourd,-3094802,-2476562
recognized,-3288896,-6020160
glanced,-3948366,-8770638
weapons,-1586496,-4184195
slung,-2242834,-1165879
loosened,-3095593,-3853609
hold,-4400432,-9888048
wary,-480028,-1815965
teleporting,-2633520,-3135802
swirls,-1777193,-2680431
faced,-4608078,-10340430
train,-2630228,-5499229
headband,-3951956,-8768596
Konoha,-6369856,-14331456
Pretty,-5249062,-13953830
hope,-4400419,-9428771
walks,-1979696,-3134561
whispers,-1321024,-4186518
these,-1590087,-4640643
redhead,-3491409,-7393105
flicker,-3748416,-7658048
shifts,-3090473,-3989033
uneasily,-3283008,-6221120
Shouldnt,-4140090,-9035066
headbands,-3951936,-7849536
State,-5058388,-12968020
depending,-4403770,-9820474
re,-1787648,-16777216
smartass,-1777236,-5499788
glares,-3095606,-4640822
stays,-923732,-5500861
quiet,-3281978,-5959738
nonetheless,-3482170,-6612282
Hold,-7873840,-14765872
asks,-3479603,-6351923
shyly,-2433541,-319010
redhaired,-2641223,-4638799
Sabaku,-6964019,-13270835
interested,-3743286,-7530550
Nawa,-7623435,-11548427
replies,-2244406,-3526229
slight,-2897193,-3134249
hey,-3950085,-5225221
mumble,-4137530,-9233722
sand,-3298089,-4373033
beginning,-4403770,-9820474
Neji,-6768182,-13142582
Hinata,-8267840,-14763328
Shikamaru,-5912873,-13614121
everybody,-3087926,-4778038
whispering,-2241082,-3791194
hitaiate,-3751734,-6934070
reappeared,-3746894,-8446286
Wouldnt,-4143391,-7589151
stab,-3478612,-8122964
Kabuto,-5715261,-14143549
cards,-5059868,-11456540
anymore,-4401170,-8772114
apparent,-4594486,-11201078
suspicion,-2630960,-3137851
card,-5067548,-10007836
pulled,-2632765,-3989063
deck,-4146766,-9228110
spun,-2236946,-1171516
smoke,-2439462,-2477884
statistics,-1584960,-4185221
crowded,-3486262,-6215734
